Sno,Date,Province/State,Country,lat,lon,Last Update,Confirmed,Deaths,Recovered
60,01/23/2020 12:00:00,Ningxia,Mainland China,37.26923,106.1655,01/23/2020 12:00:00,1,0,0
61,01/23/2020 12:00:00,Qinghai,Mainland China,35.65945,96.02564,01/23/2020 12:00:00,0,0,0
62,01/23/2020 12:00:00,Shaanxi,Mainland China,35.19165,108.8701,01/23/2020 12:00:00,3,0,0
63,01/23/2020 12:00:00,Shandong,Mainland China,36.34377,118.1529,01/23/2020 12:00:00,6,0,0
64,01/23/2020 12:00:00,Shanghai,Mainland China,31.20327,121.4554,01/23/2020 12:00:00,16,0,0
65,01/23/2020 12:00:00,Shanxi,Mainland China,37.57769,112.2922,01/23/2020 12:00:00,1,0,0
66,01/23/2020 12:00:00,Sichuan,Mainland China,30.61714,102.7103,01/23/2020 12:00:00,8,0,0
67,01/23/2020 12:00:00,Taiwan,Taiwan,23.6978,120.9605,01/23/2020 12:00:00,1,0,0
68,01/23/2020 12:00:00,Tianjin,Mainland China,39.29362,117.333,01/23/2020 12:00:00,4,0,0
69,01/23/2020 12:00:00,Tibet,Mainland China,30.1534,88.7879,01/23/2020 12:00:00,0,0,0
70,01/23/2020 12:00:00,Washington,US,47.7511,-120.7401,01/23/2020 12:00:00,1,0,0
71,01/23/2020 12:00:00,Xinjiang,Mainland China,41.11981,85.17822,01/23/2020 12:00:00,2,0,0
72,01/23/2020 12:00:00,Yunnan,Mainland China,24.97411,101.4868,01/23/2020 12:00:00,2,0,0
73,01/23/2020 12:00:00,Zhejiang,Mainland China,29.18251,120.0985,01/23/2020 12:00:00,27,0,0
74,01/23/2020 12:00:00,,Japan,35.6762,139.6503,01/23/2020 12:00:00,1,0,0
75,01/23/2020 12:00:00,,Thailand,13.7563,100.5018,01/23/2020 12:00:00,3,0,0
76,01/23/2020 12:00:00,,South Korea,37.5665,126.978,01/23/2020 12:00:00,1,0,0
77,01/23/2020 12:00:00,,Singapore,1.3521,103.8198,01/23/2020 12:00:00,1,0,0
78,01/23/2020 12:00:00,,Philippines,12.8797,121.774,01/23/2020 12:00:00,0,0,0
79,01/23/2020 12:00:00,,Malaysia,4.2105,101.9758,01/23/2020 12:00:00,0,0,0
80,01/23/2020 12:00:00,,Vietnam,21.0278,105.8342,01/23/2020 12:00:00,2,0,0
81,01/23/2020 12:00:00,,Australia,-33.8688,151.2093,01/23/2020 12:00:00,0,0,0
82,01/23/2020 12:00:00,,Mexico,23.6345,-102.5528,01/23/2020 12:00:00,0,0,0
83,01/23/2020 12:00:00,,Brazil,-14.235,-51.9253,01/23/2020 12:00:00,0,0,0
84,01/24/2020 12:00:00,Hubei,Mainland China,30.97564,112.2707,01/24/2020 12:00:00,549,24,31
85,01/24/2020 12:00:00,Guangdong,Mainland China,23.33841,113.422,01/24/2020 12:00:00,53,0,2
86,01/24/2020 12:00:00,Zhejiang,Mainland China,29.18251,120.0985,01/24/2020 12:00:00,43,0,1
87,01/24/2020 12:00:00,Beijing,Mainland China,40.18238,116.4142,01/24/2020 12:00:00,36,0,1
88,01/24/2020 12:00:00,Chongqing,Mainland China,30.05718,107.874,01/24/2020 12:00:00,27,0,0
89,01/24/2020 12:00:00,Hunan,Mainland China,27.61041,111.7088,01/24/2020 12:00:00,24,0,0
90,01/24/2020 12:00:00,Guangxi,Mainland China,23.82908,108.7881,01/24/2020 12:00:00,23,0,0
91,01/24/2020 12:00:00,Shanghai,Mainland China,31.20327,121.4554,01/24/2020 12:00:00,20,0,1
92,01/24/2020 12:00:00,Jiangxi,Mainland China,27.61401,115.7221,01/24/2020 12:00:00,18,0,0
93,01/24/2020 12:00:00,Sichuan,Mainland China,30.61714,102.7103,01/24/2020 12:00:00,15,0,0
94,01/24/2020 12:00:00,Shandong,Mainland China,36.34377,118.1529,01/24/2020 12:00:00,15,0,0
95,01/24/2020 12:00:00,Anhui,Mainland China,31.82571,117.2264,01/24/2020 12:00:00,15,0,0
96,01/24/2020 12:00:00,Fujian,Mainland China,26.07783,117.9895,01/24/2020 12:00:00,10,0,0
97,01/24/2020 12:00:00,Henan,Mainland China,33.88202,113.614,01/24/2020 12:00:00,9,0,0
98,01/24/2020 12:00:00,Jiangsu,Mainland China,32.97027,119.464,01/24/2020 12:00:00,9,0,0
99,01/24/2020 12:00:00,Hainan,Mainland China,19.19673,109.7455,01/24/2020 12:00:00,8,0,0
100,01/24/2020 12:00:00,Tianjin,Mainland China,39.29362,117.333,01/24/2020 12:00:00,8,0,0
101,01/24/2020 12:00:00,Yunnan,Mainland China,24.97411,101.4868,01/24/2020 12:00:00,5,0,0
102,01/24/2020 12:00:00,Shaanxi,Mainland China,35.19165,108.8701,01/24/2020 12:00:00,5,0,0
103,01/24/2020 12:00:00,Heilongjiang,Mainland China,47.862,127.7622,01/24/2020 12:00:00,4,1,0
104,01/24/2020 12:00:00,Liaoning,Mainland China,41.29284,122.6086,01/24/2020 12:00:00,4,0,0
105,01/24/2020 12:00:00,Guizhou,Mainland China,26.81536,106.8748,01/24/2020 12:00:00,3,0,0
106,01/24/2020 12:00:00,Jilin,Mainland China,43.66657,126.1917,01/24/2020 12:00:00,3,0,0
107,01/24/2020 12:00:00,Taiwan,Taiwan,23.6978,120.9605,01/24/2020 12:00:00,3,0,0
108,01/24/2020 12:00:00,Ningxia,Mainland China,37.26923,106.1655,01/24/2020 12:00:00,2,0,0
109,01/24/2020 12:00:00,Hong Kong,Hong Kong,22.3193,114.1694,01/24/2020 12:00:00,2,0,0
110,01/24/2020 12:00:00,Macau,Macau,22.1987,113.5439,01/24/2020 12:00:00,2,0,0
111,01/24/2020 12:00:00,Hebei,Mainland China,38.0428,114.5149,01/24/2020 12:00:00,2,1,0
112,01/24/2020 12:00:00,Gansu,Mainland China,36.0611,103.8343,01/24/2020 12:00:00,2,0,0
113,01/24/2020 12:00:00,Xinjiang,Mainland China,41.11981,85.17822,01/24/2020 12:00:00,2,0,0
114,01/24/2020 12:00:00,Shanxi,Mainland China,37.57769,112.2922,01/24/2020 12:00:00,1,0,0
115,01/24/2020 12:00:00,Inner Mongolia,Mainland China,44.09448,113.9456,01/24/2020 12:00:00,1,0,0
116,01/24/2020 12:00:00,Qinghai,Mainland China,35.65945,96.02564,01/24/2020 12:00:00,0,0,0
117,01/24/2020 12:00:00,Washington,US,47.7511,-120.7401,01/24/2020 12:00:00,1,0,0
118,01/24/2020 12:00:00,Chicago,US,36.7783,-119.4179,01/24/2020 12:00:00,1,0,0
119,01/24/2020 12:00:00,,Japan,35.6762,139.6503,01/24/2020 12:00:00,2,0,0
120,01/24/2020 12:00:00,,Thailand,13.7563,100.5018,01/24/2020 12:00:00,5,0,0
121,01/24/2020 12:00:00,,South Korea,37.5665,126.978,01/24/2020 12:00:00,2,0,0
122,01/24/2020 12:00:00,,Singapore,1.3521,103.8198,01/24/2020 12:00:00,3,0,0
123,01/24/2020 12:00:00,,Vietnam,21.0278,105.8342,01/24/2020 12:00:00,2,0,0
124,01/24/2020 12:00:00,,France,46.2276,2.2137,01/24/2020 16:00:00,2,0,0
125,01/25/2020 22:00:00,Hubei,Mainland China,30.97564,112.2707,01/25/2020 22:00:00,1052,52,42
126,01/25/2020 22:00:00,Zhejiang,Mainland China,29.18251,120.0985,01/25/2020 22:00:00,104,0,1
127,01/25/2020 22:00:00,Guangdong,Mainland China,23.33841,113.422,01/25/2020 12:00:00,98,0,2
128,01/25/2020 22:00:00,Henan,Mainland China,33.88202,113.614,01/25/2020 12:00:00,83,1,0
129,01/25/2020 22:00:00,Chongqing,Mainland China,30.05718,107.874,01/25/2020 12:00:00,75,0,0
130,01/25/2020 22:00:00,Hunan,Mainland China,27.61041,111.7088,01/25/2020 12:00:00,69,0,0
131,01/25/2020 22:00:00,Anhui,Mainland China,31.82571,117.2264,01/25/2020 12:00:00,60,0,0
132,01/25/2020 22:00:00,Beijing,Mainland China,40.18238,116.4142,01/25/2020 12:00:00,51,0,2
133,01/25/2020 22:00:00,Sichuan,Mainland China,30.61714,102.7103,01/25/2020 12:00:00,44,0,0
134,01/25/2020 22:00:00,Shanghai,Mainland China,31.20327,121.4554,01/25/2020 12:00:00,40,1,1
135,01/25/2020 22:00:00,Shandong,Mainland China,36.34377,118.1529,01/25/2020 12:00:00,39,0,0
136,01/25/2020 22:00:00,Jiangxi,Mainland China,27.61401,115.7221,01/25/2020 12:00:00,36,0,0
137,01/25/2020 22:00:00,Guangxi,Mainland China,23.82908,108.7881,01/25/2020 12:00:00,33,0,0
138,01/25/2020 22:00:00,Jiangsu,Mainland China,32.97027,119.464,01/25/2020 12:00:00,31,0,1
139,01/25/2020 22:00:00,Hainan,Mainland China,19.19673,109.7455,01/25/2020 12:00:00,19,0,0
